Romeo and Juliet - By William Shakespeare
Jane Eyre by Charlotte Bront?
Animal Farm - By George Orwell
Anna Karenina - By Leo Tolstoy
Great Expectations - by Charles Dickens
The Scarlet Letter - By Nathaniel Hawthorne
The Adventures of Huckleberry Finn - By Mark Twain
Frankenstein - By Mary Shelley
Nineteen Eighty-Four By George Orwell
Pride and Prejudice By Jane Austen
Macbeth By William Shakespeare
Wuthering Heights - By Emily Bront?
The Great Gatsby - F. Scott Fitzgerald
The Odyssey by Homer
